customer_id,gender,age,tenure,monthly_charges,contract_type,payment_method,churn
13748,Female,24,59,66.36,Two Year,Debit Card,No
23545,Male,57,22,93.75,Month-to-Month,UPI,No
76199,Female,45,8,32.81,Two Year,UPI,No
44766,Female,56,49,71.21,Two Year,UPI,No
83530,Female,56,42,47.91,Two Year,UPI,No
71087,Male,45,27,36.12,Month-to-Month,UPI,Yes
78840,Male,31,39,62.63,One Year,Credit Card,Yes
64384,Female,67,25,33.1,Two Year,Net Banking,Yes
61005,Male,55,38,89.9,One Year,Net Banking,Yes
56576,Female,21,24,65.62,One Year,Credit Card,No
49353,Female,59,24,73.11,Two Year,Credit Card,No
72003,Male,35,60,34.64,One Year,UPI,Yes
93211,Female,61,50,33.98,Two Year,Debit Card,No
62733,Female,65,66,78.34,Month-to-Month,Net Banking,No
75318,Male,42,14,118.5,Month-to-Month,Debit Card,No
99474,Female,24,53,29.63,Month-to-Month,Net Banking,No
33664,Female,55,32,48.57,Month-to-Month,UPI,No
77172,Female,45,48,106.95,One Year,Debit Card,Yes
95616,Male,22,39,27.23,Month-to-Month,Net Banking,Yes
36736,Female,20,40,107.59,Two Year,Net Banking,Yes
10854,Male,61,42,72.43,Month-to-Month,UPI,No
48623,Female,48,8,60.83,Month-to-Month,Debit Card,No
17392,Female,64,26,50.97,Month-to-Month,UPI,No
65680,Female,59,12,49.71,Month-to-Month,Debit Card,No
56717,Female,37,43,50.58,Month-to-Month,Debit Card,No
97092,Male,36,51,108.48,Month-to-Month,Net Banking,No
60859,Male,65,63,92.38,One Year,Credit Card,No
36309,Female,28,49,86.97,Month-to-Month,Debit Card,No
97455,Female,57,27,99.87,Month-to-Month,Debit Card,No
73734,Female,20,9,45.71,One Year,UPI,Yes
80467,Female,40,39,81.8,Month-to-Month,Debit Card,No
62662,Female,24,65,66.01,Month-to-Month,Debit Card,No
22688,Female,40,71,98.24,Month-to-Month,Debit Card,Yes
35342,Female,24,71,50.93,Month-to-Month,Debit Card,No
47157,Female,63,7,84.32,One Year,Debit Card,Yes
77863,Male,51,67,108.22,Month-to-Month,Credit Card,Yes
62083,Male,59,10,60.22,Two Year,Net Banking,Yes
75733,Male,36,71,26.66,Two Year,Debit Card,No
99045,Female,26,53,71.61,Month-to-Month,UPI,No
44698,Female,65,57,54.6,Two Year,UPI,No
90623,Female,68,27,87.22,Month-to-Month,Debit Card,No
32671,Male,35,54,115.1,Month-to-Month,Debit Card,Yes
35184,Female,58,4,68.56,Month-to-Month,Debit Card,Yes
52107,Male,65,23,66.62,Month-to-Month,Credit Card,No
96202,Female,62,48,85.46,One Year,Net Banking,No
61663,Male,59,42,30.35,Month-to-Month,UPI,No
25708,Male,42,3,45.35,One Year,Credit Card,Yes
59811,Male,69,3,111.9,One Year,Credit Card,Yes
12811,Female,31,28,86.99,Month-to-Month,Debit Card,No
66250,Male,61,63,21.34,One Year,Net Banking,Yes
82082,Female,42,31,40.46,Two Year,Debit Card,No
44754,Female,36,10,88.28,Month-to-Month,UPI,Yes
21411,Female,56,49,96.44,Month-to-Month,Net Banking,No
12911,Female,32,21,103.99,Month-to-Month,Debit Card,No
77270,Female,33,53,49.22,Month-to-Month,UPI,No
93763,Male,44,54,113.1,Month-to-Month,Credit Card,No
18680,Female,57,57,75.29,Month-to-Month,UPI,No
94896,Female,27,20,89.65,One Year,UPI,Yes
93879,Female,21,49,79.67,One Year,UPI,No
81295,Female,68,7,32.27,Month-to-Month,Net Banking,No
98614,Female,36,29,116.31,Month-to-Month,Credit Card,No
21111,Male,45,48,32.29,Month-to-Month,Net Banking,No
47504,Male,38,13,45.49,Month-to-Month,Credit Card,No
11802,Female,64,3,101.36,Month-to-Month,Debit Card,Yes
18155,Male,31,2,81.86,Two Year,Debit Card,Yes
83656,Male,50,16,103.81,Month-to-Month,UPI,No
49384,Female,65,6,71.57,Month-to-Month,UPI,Yes
57254,Male,27,45,57.7,Month-to-Month,Net Banking,No
31918,Female,36,71,112.18,One Year,Credit Card,No
95981,Male,47,5,23.63,One Year,Credit Card,No
70713,Male,39,56,105.61,Month-to-Month,Credit Card,No
40306,Male,20,71,43.08,Month-to-Month,UPI,No
26646,Female,54,32,104.87,Month-to-Month,UPI,No
56843,Male,58,49,33.92,Month-to-Month,Credit Card,Yes
26371,Male,35,13,78.02,Two Year,UPI,No
87371,Female,28,30,108.81,One Year,Credit Card,Yes
12049,Female,65,25,67.35,One Year,Net Banking,No
41616,Male,19,60,94.66,Month-to-Month,Debit Card,Yes
30932,Female,29,59,100.47,Month-to-Month,Credit Card,Yes
39855,Male,23,28,93.65,One Year,UPI,No
71434,Male,60,58,112.53,Month-to-Month,Net Banking,No
82694,Female,57,20,64.68,Two Year,UPI,No
53016,Female,61,34,37.31,Month-to-Month,UPI,Yes
17400,Female,46,5,24.78,Month-to-Month,UPI,Yes
52642,Male,47,60,44.65,One Year,Credit Card,Yes
25151,Female,19,43,34.32,Month-to-Month,Net Banking,No
61407,Male,26,57,75.79,Month-to-Month,Credit Card,No
76690,Female,64,57,38.49,Month-to-Month,Debit Card,No
14499,Male,19,54,23.89,One Year,Credit Card,No
16295,Female,46,45,23.6,Month-to-Month,Debit Card,No
69040,Male,50,37,103.16,Month-to-Month,Net Banking,Yes
22183,Female,27,48,79.14,One Year,Net Banking,No
39299,Male,51,54,55.81,Month-to-Month,Credit Card,No
22874,Female,61,48,109.42,Two Year,Credit Card,Yes
42711,Female,25,6,27.02,Month-to-Month,UPI,Yes
15539,Male,54,34,118.03,One Year,Debit Card,Yes
63351,Female,50,63,81.63,Month-to-Month,UPI,No
71267,Male,64,48,38.35,One Year,UPI,No
58354,Male,23,23,87.91,One Year,Net Banking,No
12557,Female,61,13,96.34,Two Year,Credit Card,No
48360,Male,57,47,62.93,Month-to-Month,Net Banking,No
92018,Female,62,44,106.16,Month-to-Month,Credit Card,No
12200,Female,36,32,35.07,One Year,Net Banking,No
78497,Male,49,26,47.88,Month-to-Month,Net Banking,Yes
56975,Female,44,53,29.35,Month-to-Month,Net Banking,No
31357,Male,18,14,41.09,Two Year,Debit Card,No
87505,Male,60,52,43.87,Month-to-Month,Net Banking,No
12869,Female,69,36,111.76,Two Year,Debit Card,No
71135,Female,50,8,27.81,Month-to-Month,Net Banking,No
60108,Male,57,40,62.74,One Year,Credit Card,Yes
48467,Male,49,22,73.24,Month-to-Month,Debit Card,Yes
33328,Female,22,16,109.87,Month-to-Month,Credit Card,No
96831,Female,34,60,119.77,Two Year,Credit Card,No
13987,Female,25,60,95.34,Month-to-Month,Credit Card,Yes
68871,Female,59,10,117.08,Two Year,Debit Card,Yes
32399,Male,51,25,98.71,One Year,UPI,Yes
56214,Female,26,31,116.32,Month-to-Month,Debit Card,No
96416,Male,40,21,90.73,Two Year,UPI,No
80271,Male,52,33,27.98,Month-to-Month,Debit Card,Yes
54064,Female,67,31,60.19,One Year,Net Banking,No
80091,Male,24,21,84.66,Month-to-Month,UPI,Yes
50818,Female,32,36,55.07,Two Year,Net Banking,No
55525,Male,37,65,47.34,One Year,UPI,No
29830,Female,67,4,77.74,Month-to-Month,Debit Card,Yes
27429,Male,42,68,113.35,One Year,Debit Card,No
16893,Male,20,4,23.5,Month-to-Month,UPI,No
89909,Female,63,9,96.92,Month-to-Month,Net Banking,Yes
57333,Female,41,30,92.27,Month-to-Month,Credit Card,Yes
13436,Male,51,45,116.4,Month-to-Month,UPI,Yes
84290,Male,63,4,113.07,Month-to-Month,UPI,Yes
86213,Female,39,69,96.22,Month-to-Month,Net Banking,Yes
15895,Male,28,23,72.04,Month-to-Month,Credit Card,No
29738,Female,65,16,40.43,Month-to-Month,UPI,No
40746,Male,25,22,74.52,Month-to-Month,Credit Card,No
59377,Female,56,48,96.54,One Year,Credit Card,No
58404,Male,60,62,109.57,One Year,Debit Card,No
64045,Female,52,60,98.97,Month-to-Month,Net Banking,No
49790,Female,66,5,39.53,Two Year,UPI,Yes
15600,Male,63,7,79.97,One Year,UPI,Yes
50764,Female,55,51,53.22,One Year,Credit Card,No
84543,Male,25,65,20.92,Month-to-Month,UPI,No
55714,Female,54,9,40.02,Month-to-Month,Credit Card,No
66835,Female,44,45,31.32,Two Year,UPI,No
83744,Female,45,47,104.27,One Year,Net Banking,No
66491,Male,57,67,45.85,Month-to-Month,UPI,Yes
28589,Female,51,24,48.47,Month-to-Month,Credit Card,Yes
53484,Male,49,10,115.99,One Year,Credit Card,Yes
92989,Female,32,48,57.91,One Year,UPI,Yes
46212,Male,61,35,20.96,Two Year,UPI,No
53525,Male,34,54,48.38,Month-to-Month,Credit Card,No
57202,Male,50,71,31.93,Month-to-Month,Debit Card,No
42635,Female,64,16,30.28,Month-to-Month,Debit Card,No
73208,Male,63,53,27.75,Month-to-Month,UPI,No
43828,Female,69,40,79.33,Month-to-Month,Net Banking,No
28711,Male,33,20,38.93,Two Year,UPI,Yes
13420,Male,46,69,56.12,Month-to-Month,Net Banking,No
10301,Male,26,45,106.2,One Year,UPI,No
55236,Male,50,6,62.43,Month-to-Month,Credit Card,No
76235,Female,66,69,111.57,Month-to-Month,UPI,No
64240,Male,46,49,69.79,Month-to-Month,Net Banking,Yes
75726,Male,30,39,59.88,Month-to-Month,Net Banking,No
20492,Female,38,2,95.04,One Year,UPI,Yes
16102,Male,38,39,27.32,Month-to-Month,UPI,No
60336,Male,22,21,28.95,Month-to-Month,Debit Card,No
95314,Male,27,40,85.2,Month-to-Month,UPI,No
36641,Male,23,54,68.69,Month-to-Month,UPI,No
44584,Female,68,12,99.04,One Year,Credit Card,No
42745,Female,30,37,111.63,Month-to-Month,Net Banking,Yes
33093,Male,18,38,58.84,One Year,Debit Card,No
76105,Female,37,15,79.64,One Year,Credit Card,Yes
61885,Female,64,7,70.07,Month-to-Month,UPI,Yes
46631,Male,63,50,118.16,Month-to-Month,Net Banking,No
82991,Female,25,65,103.11,One Year,UPI,Yes
14014,Male,27,67,111.17,One Year,UPI,No
21093,Female,26,44,45.43,Month-to-Month,UPI,Yes
28070,Female,66,31,97.25,Month-to-Month,UPI,No
45777,Female,58,43,46.55,Month-to-Month,Net Banking,Yes
66958,Male,20,48,40.87,Month-to-Month,Credit Card,No
92074,Female,28,61,114.43,Month-to-Month,UPI,No
20729,Male,29,10,21.93,Month-to-Month,UPI,No
55017,Male,27,29,116.54,Month-to-Month,Debit Card,No
76320,Female,42,48,34.93,Month-to-Month,Debit Card,Yes
37751,Male,66,62,101.94,Month-to-Month,Net Banking,Yes
88069,Female,66,13,47.59,Two Year,UPI,No
64748,Male,42,44,55.07,Month-to-Month,UPI,No
15801,Male,28,47,41.68,Two Year,UPI,Yes
29190,Female,53,64,78.55,Month-to-Month,Net Banking,Yes
59689,Female,56,53,54.81,One Year,Net Banking,No
60993,Female,43,44,85.74,Month-to-Month,UPI,No
39592,Female,31,28,21.56,One Year,UPI,No
20647,Male,56,2,26.44,Month-to-Month,Net Banking,Yes
18716,Male,57,57,29.97,Month-to-Month,UPI,No
98891,Male,18,57,61.9,Two Year,Credit Card,Yes
97545,Female,21,34,101.48,Month-to-Month,Credit Card,No
99912,Male,47,58,108.82,Two Year,Net Banking,No
80316,Female,29,52,44.48,Month-to-Month,Credit Card,No
12368,Male,52,29,77.44,Month-to-Month,Debit Card,No
87575,Female,30,35,96.84,Month-to-Month,UPI,Yes
16655,Male,69,48,48.88,One Year,Debit Card,No
80031,Male,48,33,60.9,Month-to-Month,Debit Card,No
86429,Female,55,9,72.4,Two Year,Debit Card,Yes
97922,Male,60,48,33.49,Month-to-Month,Credit Card,No
65766,Female,40,67,22.6,One Year,UPI,No
23403,Male,21,36,35.28,Month-to-Month,UPI,No
42097,Male,69,71,82.69,Month-to-Month,Net Banking,No
88657,Female,33,44,27.36,Month-to-Month,Debit Card,No
20966,Female,24,60,38.97,Month-to-Month,Credit Card,No
62921,Male,39,63,53.79,Month-to-Month,Debit Card,No
59726,Male,46,5,27.79,Month-to-Month,Debit Card,No
60300,Male,28,40,39.17,Month-to-Month,UPI,No
32677,Male,50,19,111.13,Month-to-Month,Net Banking,No
65609,Male,46,47,21.93,Month-to-Month,Credit Card,Yes
66661,Male,56,65,85.34,Month-to-Month,UPI,No
41024,Female,29,67,58.44,Month-to-Month,Debit Card,No
80313,Female,24,18,87.26,Two Year,UPI,Yes
63006,Female,56,50,78.87,Two Year,Debit Card,Yes
25338,Male,59,30,42.35,Month-to-Month,Credit Card,No
78027,Male,65,66,104.72,Two Year,UPI,No
90135,Male,43,5,69.19,One Year,UPI,No
29508,Female,57,42,102.25,Month-to-Month,UPI,No
13051,Female,26,5,60.6,Month-to-Month,UPI,Yes
58747,Male,58,50,118.47,Two Year,UPI,No
97142,Male,51,58,97.05,One Year,Credit Card,Yes
97235,Female,62,8,116.6,One Year,Net Banking,Yes
64021,Female,30,31,71.43,Two Year,Credit Card,No
76412,Female,53,12,67.37,Month-to-Month,UPI,No
68335,Male,42,21,95.55,Month-to-Month,Debit Card,No
66179,Male,41,62,108.03,Month-to-Month,Debit Card,No
42093,Male,61,33,116.41,Month-to-Month,UPI,No
79678,Female,34,26,52.46,Month-to-Month,Net Banking,No
90738,Female,19,40,99.87,Month-to-Month,UPI,No
49734,Male,30,65,41.06,Month-to-Month,Credit Card,No
82615,Male,48,59,74.56,Month-to-Month,Net Banking,Yes
83523,Female,46,15,37.98,Month-to-Month,Net Banking,No
27019,Male,67,1,54.74,Month-to-Month,Credit Card,No
93613,Female,45,11,113.14,Month-to-Month,Net Banking,Yes
96672,Female,44,55,34.61,Month-to-Month,UPI,No
83847,Male,32,2,83.24,One Year,UPI,Yes
92750,Female,48,65,79.3,Two Year,Debit Card,No
89634,Male,57,44,32.07,Month-to-Month,Credit Card,No
38251,Female,32,16,52.6,Month-to-Month,Net Banking,No
35945,Female,50,22,76.3,Two Year,Net Banking,No
42217,Male,37,18,38.72,Month-to-Month,Net Banking,No
18308,Female,59,47,100.06,One Year,UPI,Yes
15949,Male,29,30,117.22,Month-to-Month,Credit Card,Yes
61990,Male,54,10,41.48,One Year,UPI,Yes
11150,Female,26,58,38.69,Two Year,Net Banking,No
99480,Male,40,62,65.49,One Year,UPI,Yes
84740,Male,25,6,94.78,Month-to-Month,Net Banking,Yes
76617,Male,49,67,48.16,Two Year,Net Banking,No
26896,Male,65,41,21.99,One Year,UPI,No
56175,Male,31,43,74.12,One Year,Net Banking,Yes
17805,Male,44,18,115.66,Month-to-Month,UPI,No
15237,Female,42,58,59.13,One Year,Debit Card,Yes
30056,Male,30,60,62.01,Month-to-Month,UPI,No
55543,Female,38,27,116.89,Month-to-Month,Debit Card,No
66556,Female,62,68,89.46,Month-to-Month,Debit Card,Yes
13343,Male,48,22,91.92,Month-to-Month,UPI,Yes
23500,Female,54,24,76.27,One Year,Credit Card,No
63222,Female,65,40,117.46,One Year,Credit Card,No
39375,Male,60,66,88.89,Month-to-Month,UPI,No
19662,Male,22,40,109.5,One Year,UPI,No
26964,Male,30,6,89.94,Two Year,Net Banking,Yes
69638,Female,45,18,93.51,Month-to-Month,Net Banking,No
83666,Female,60,30,49.04,Month-to-Month,UPI,No
95067,Male,42,21,50.35,Month-to-Month,Credit Card,No
77215,Male,68,62,98.3,Month-to-Month,Net Banking,No
79042,Female,52,10,49.67,Month-to-Month,Net Banking,Yes
23284,Female,64,13,76.28,Month-to-Month,Credit Card,No
82789,Female,56,9,44.94,Month-to-Month,UPI,Yes
94664,Female,24,68,101.7,Two Year,Credit Card,Yes
71389,Male,55,39,31.05,One Year,Debit Card,No
19435,Female,49,24,102.94,Month-to-Month,Net Banking,No
64340,Female,20,34,80.27,Month-to-Month,Net Banking,Yes
54078,Female,62,61,38.69,Month-to-Month,Net Banking,No
88832,Female,56,41,74.2,Month-to-Month,Credit Card,No
61293,Male,54,5,48.25,Month-to-Month,Credit Card,Yes
88781,Male,67,50,52.35,Month-to-Month,UPI,No
70403,Female,39,4,55.15,Month-to-Month,Net Banking,No
39124,Female,25,51,26.33,Month-to-Month,Debit Card,Yes
53919,Male,34,52,118.6,Month-to-Month,UPI,No
45247,Male,69,39,23.15,One Year,Credit Card,No
72752,Female,44,8,86.25,Month-to-Month,Debit Card,Yes
66573,Female,50,45,57.12,Month-to-Month,UPI,Yes
69101,Male,63,28,84.6,Month-to-Month,Credit Card,No
36646,Male,34,27,55.62,Two Year,Debit Card,Yes
33049,Male,59,65,87.38,One Year,UPI,No
89605,Male,29,34,92.92,Month-to-Month,Debit Card,Yes
78385,Male,65,62,89.06,Two Year,Credit Card,No
50158,Male,63,62,31.4,Month-to-Month,UPI,No
75417,Female,44,38,85.69,Two Year,Credit Card,Yes
33289,Male,65,26,48.0,Month-to-Month,Net Banking,Yes
19823,Male,25,24,22.88,Month-to-Month,Net Banking,Yes
70160,Male,40,39,61.48,One Year,Debit Card,Yes
51975,Male,59,21,63.35,Month-to-Month,Net Banking,No
19540,Female,66,47,66.72,One Year,Credit Card,No
26364,Female,46,48,90.48,Month-to-Month,Debit Card,No
14611,Male,67,13,50.88,One Year,UPI,No
37663,Female,37,3,51.53,Month-to-Month,Credit Card,No
61991,Female,33,32,26.06,Month-to-Month,UPI,Yes
67679,Female,34,35,88.68,Two Year,UPI,No
40977,Female,33,19,76.78,Two Year,UPI,No
59115,Female,36,14,54.94,Two Year,UPI,No
98223,Female,25,48,90.52,One Year,Credit Card,No
70890,Male,55,68,73.74,One Year,Net Banking,No
76387,Male,55,45,66.92,Month-to-Month,Credit Card,No
28071,Male,46,19,71.13,Month-to-Month,Net Banking,Yes
69275,Male,58,64,83.63,Month-to-Month,UPI,Yes
82369,Male,53,66,86.0,Month-to-Month,Net Banking,No
21938,Female,43,66,48.9,Two Year,UPI,No
45195,Male,48,45,34.07,Month-to-Month,Debit Card,Yes
14000,Male,61,67,35.66,Two Year,UPI,No
